NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 11,1001,property,-77.08278493,2019-08-21T22:00:16.000,theft/other,midnight,142515,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,392824,4200 - 4269 block of river road nw,2019-08-21T08:00:21.000,19180731,theft/other,19180731-01,3E,2019-10-10T3:19:51.000Z,others,"38.950512424217237,-77.082787247209879",38.95050463
cluster 11,1200,property,-77.07582401,2019-09-01T07:00:40.000,motor vehicle theft,day,142045,2,3,2019,property|motor vehicle theft,,2D1,202,8,001200 4,precinct 33,393427,3800 - 3899 block of yuma street nw,2019-08-31T21:30:35.000,19155156,motor vehicle theft,19155156-01,3E,2019-09-01T16:35:00.000Z,others,"38.946283253846993,-77.075826318177704",38.94627546
cluster 11,1001,property,-77.0803032,2019-10-16T08:13:41.000,theft/other,day,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-10-16T08:08:08.000,19184956,theft/other,19184956-01,3E,2019-10-16T16:04:24.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1001,property,-77.0803032,,theft/other,day,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-03-17T09:24:21.000,19045095,theft/other,19045095-01,3E,2019-03-17T14:05:47.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1001,property,-77.07994458,2019-11-17T13:32:29.000,theft/other,day,142276,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393070,4500 - 4537 block of wisconsin avenue nw,2019-11-17T13:21:05.000,19205958,theft/other,19205958-01,3E,2019-11-17T19:58:24.000Z,others,"38.948361422070178,-77.079946888011946",38.94835363
cluster 11,1001,property,-77.0803032,2019-12-08T20:03:56.000,theft/other,evening,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-12-08T19:57:36.000,19219076,theft/other,19219076-01,3E,2019-12-09T2:40:03.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1100,violent,-77.07810938,2019-12-09T18:05:29.000,robbery,evening,142178,2,3,2019,violent|robbery,,2D1,202,4,001100 4,precinct 32,393229,4400 - 4499 block of grant road nw,2019-12-09T18:00:30.000,19219645,robbery,19219645-01,3E,2019-12-10T0:48:18.000Z,gun,"38.947479850980038,-77.078111694758206",38.94747206
cluster 11,1001,property,-77.0803032,2019-09-20T14:39:28.000,theft/other,evening,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-09-20T13:20:38.000,19167789,theft/other,19167789-01,3E,2019-09-21T1:18:52.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1100,property,-77.07875685,2019-08-27T14:06:06.000,theft/other,day,142324,2,3,2019,property|theft/other,,2D1,202,6,001100 4,precinct 32,393173,4500 - 4599 block of 40th street nw,2019-08-27T13:06:00.000,19151913,theft/other,19151913-01,3E,2019-08-27T18:05:52.000Z,others,"38.948794625845061,-77.078759156541949",38.94878683
cluster 11,1001,property,-77.07994458,2019-09-04T12:47:10.000,theft/other,day,142276,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393070,4500 - 4537 block of wisconsin avenue nw,2019-08-26T13:00:21.000,19157032,theft/other,19157032-01,3E,2019-09-04T16:46:43.000Z,others,"38.948361422070178,-77.079946888011946",38.94835363
